Gene,Regulation,Timepoint
lnc-AL669831.1-6,Up,1h
lnc-AL713998.1-3,Up,1h
lnc-AL901608.1-11,Up,1h
lnc-AL901608.1-64,Up,1h
lnc-ALAS2-1,Up,1h
lnc-ALB-1,Up,1h
lnc-ALB-9,Up,1h
lnc-ALCAM-16,Up,1h
lnc-ALCAM-8,Up,1h
lnc-ALDH1A1-7,Up,1h
lnc-ALDH1A3-1,Up,1h
lnc-ALDH7A1-2,Up,1h
lnc-ALDH7A1-5,Up,1h
lnc-ALDOC-1,Up,1h
lnc-ALG1-1,Up,1h
lnc-ALG1-2,Up,1h
lnc-ALG10-4,Up,1h
lnc-ALG13-2,Up,1h
lnc-ALG13-3,Up,1h
lnc-ALG1L-3,Up,1h
lnc-ALG3-2,Up,1h
lnc-ALG5-4,Up,1h
lnc-ALK-2,Up,1h
lnc-ALKBH3-4,Up,1h
lnc-ALKBH4-4,Up,1h
lnc-ALKBH4-8,Up,1h
lnc-ALKBH4-9,Up,1h
lnc-ALKBH7-1,Up,1h
lnc-ALPI-1,Up,1h
lnc-ALPK2-2,Up,1h
lnc-ALPL-2,Up,1h
lnc-ALPL-3,Up,1h
lnc-ALS2CR11-2,Up,1h
lnc-ALX3-4,Up,1h
lnc-ALX4-7,Up,1h
lnc-ALX4-8,Up,1h
lnc-ALX4-9,Up,1h
lnc-ALYREF-1,Up,1h
lnc-AMBP-2,Up,1h
lnc-AMD1-2,Up,1h
lnc-AMDHD1-3,Up,1h
lnc-AMDHD2-7,Up,1h
lnc-AMELY-12,Up,1h
lnc-AMIGO1-2,Up,1h
lnc-AMIGO2-1,Up,1h
lnc-AMN-1,Up,1h
lnc-AMN-2,Up,1h
lnc-AMN-3,Up,1h
lnc-AMN1-3,Up,1h
lnc-AMOTL2-3,Up,1h
lnc-AMPH-5,Up,1h
lnc-AMPH-6,Up,1h
lnc-AMY1C-3,Up,1h
lnc-AMZ2-2,Up,1h
lnc-AMZ2-4,Up,1h
lnc-ANAPC11-2,Up,1h
lnc-ANAPC16-2,Up,1h
lnc-ANGEL1-1,Up,1h
lnc-ANGPT2-1,Up,1h
lnc-ANGPTL1-2,Up,1h
lnc-ANGPTL4-3,Up,1h
lnc-ANK2-4,Up,1h
lnc-ANKMY1-2,Up,1h
lnc-ANKRD12-1,Up,1h
lnc-ANKRD13B-3,Up,1h
lnc-ANKRD20A2-6,Up,1h
lnc-ANKRD20A3-12,Up,1h
lnc-ANKRD30A-11,Up,1h
lnc-ANKRD30A-4,Up,1h
lnc-ANKRD30BL-3,Up,1h
lnc-ANKRD31-2,Up,1h
lnc-ANKRD33B-1,Up,1h
lnc-ANKRD33B-10,Up,1h
lnc-ANKRD33B-2,Up,1h
lnc-ANKRD36BP1-1,Up,1h
lnc-ANKRD43-1,Up,1h
lnc-ANKRD50-6,Up,1h
lnc-ANKRD55-6,Up,1h
lnc-ANKRD6-1,Up,1h
lnc-ANKS1B-1,Up,1h
lnc-ANKS3-2,Up,1h
lnc-ANKS4B-2,Up,1h
lnc-ANKS6-1,Up,1h
lnc-ANKS6-2,Up,1h
lnc-ANO5-2,Up,1h
lnc-ANP32A-3,Up,1h
lnc-ANP32D-2,Up,1h
lnc-ANXA11-1,Up,1h
lnc-ANXA3-1,Up,1h
lnc-ANXA3-8,Up,1h
lnc-ANXA4-1,Up,1h
lnc-ANXA6-4,Up,1h
lnc-AP000295.9.1-1,Up,1h
lnc-AP000350.4.1-1,Up,1h
lnc-AP000525.1-4,Up,1h
lnc-AP000552.1-2,Up,1h
lnc-AP000769.1-2,Up,1h
lnc-AP000783.1.1-4,Up,1h
lnc-AP000867.1-3,Up,1h
lnc-AP000892.4.1-2,Up,1h
lnc-AP001496.1-1,Up,1h
lnc-AP001496.1-16,Up,1h
lnc-AP001816.1.1-1,Up,1h
lnc-AP002414.1.1-5,Up,1h
lnc-AP002478.1-1,Up,1h
lnc-AP005380.1-1,Up,1h
lnc-AP1AR-2,Up,1h
lnc-AP1G1-2,Up,1h
lnc-AP1M2-1,Up,1h
lnc-AP1S2-3,Up,1h
lnc-AP1S3-1,Up,1h
lnc-AP3B1-2,Up,1h
lnc-AP3M1-4,Up,1h
lnc-AP3S1-1,Up,1h
lnc-AP3S1-15,Up,1h
lnc-AP3S1-9,Up,1h
lnc-AP4B1-1,Up,1h
lnc-APAF1-3,Up,1h
lnc-APAF1-5,Up,1h
lnc-APBA2-5,Up,1h
lnc-APBB1IP-1,Up,1h
lnc-APCDD1L-2,Up,1h
lnc-APEX1-5,Up,1h
lnc-APH1A-1,Up,1h
lnc-APH1B-1,Up,1h
lnc-APITD1-1,Up,1h
lnc-APITD1-2,Up,1h
lnc-APLN-3,Up,1h
lnc-APLP2-1,Up,1h
lnc-APOA1-1,Up,1h
lnc-APOBEC1-1,Up,1h
lnc-APOBEC3F-2,Up,1h
lnc-APOBEC3H-2,Up,1h
lnc-APOC1-1,Up,1h
lnc-APOD-3,Up,1h
lnc-APOL1-11,Up,1h
lnc-APOL2-4,Up,1h
lnc-APOL6-2,Up,1h
lnc-APPBP2-4,Up,1h
lnc-APPL2-3,Up,1h
lnc-APTX-2,Up,1h
lnc-AQP9-2,Up,1h
lnc-ARAF-1,Up,1h
lnc-ARAP1-1,Up,1h
lnc-ARAP2-10,Up,1h
lnc-ARCN1-1,Up,1h
lnc-ARF1-4,Up,1h
lnc-ARF4-2,Up,1h
lnc-ARF4-3,Up,1h
lnc-ARF5-11,Up,1h
lnc-ARF6-1,Up,1h
lnc-ARF6-10,Up,1h
lnc-ARF6-3,Up,1h
lnc-ARF6-5,Up,1h
lnc-ARFIP1-3,Up,1h
lnc-ARG2-3,Up,1h
lnc-ARHGAP11A-6,Up,1h
lnc-ARHGAP15-3,Up,1h
lnc-ARHGAP17-1,Up,1h
lnc-ARHGAP17-2,Up,1h
lnc-ARHGAP18-3,Up,1h
lnc-ARHGAP24-4,Up,1h
lnc-ARHGAP28-4,Up,1h
lnc-ARHGAP31-2,Up,1h
lnc-ARHGAP35-2,Up,1h
lnc-ARHGAP8-1,Up,1h
lnc-ARHGAP9-2,Up,1h
lnc-ARHGDIB-5,Up,1h
lnc-ARHGEF2-2,Up,1h
lnc-ARHGEF2-3,Up,1h
lnc-ARHGEF35-2,Up,1h
lnc-ARHGEF38-1,Up,1h
lnc-ARHGEF38-3,Up,1h
lnc-ARHGEF5-4,Up,1h
lnc-ARHGEF6-1,Up,1h
lnc-ARID1A-1,Up,1h
lnc-ARID2-11,Up,1h
lnc-ARID2-9,Up,1h
lnc-ARID3B-1,Up,1h
lnc-ARID3B-4,Up,1h
lnc-ARIH2-1,Up,1h
lnc-ARIH2-2,Up,1h
lnc-ARL13A-1,Up,1h
lnc-ARL13B-1,Up,1h
lnc-ARL16-2,Up,1h
lnc-ARL17B-2,Up,1h
lnc-ARL3-1,Up,1h
lnc-ARL4C-4,Up,1h
lnc-ARL4D-1,Up,1h
lnc-ARL5A-2,Up,1h
lnc-ARL5B-4,Up,1h
lnc-ARL5B-5,Up,1h
lnc-ARL5C-5,Up,1h
lnc-ARL5C-6,Up,1h
lnc-ARL6IP4-2,Up,1h
lnc-ARL6IP5-1,Up,1h
lnc-ARL6IP5-3,Up,1h
lnc-ARL6IP6-2,Up,1h
lnc-ARMC1-4,Up,1h
lnc-ARMC10-2,Up,1h
lnc-ARMC2-1,Up,1h
lnc-ARMC7-1,Up,1h
lnc-ARMCX6-2,Up,1h
lnc-ARNT-1,Up,1h
lnc-ARPC1B-4,Up,1h
lnc-ARPC2-1,Up,1h
lnc-ARPC5-2,Up,1h
lnc-ARPC5L-1,Up,1h
lnc-ARPP21-2,Up,1h
lnc-ARRB1-1,Up,1h
lnc-ARRDC2-2,Up,1h
lnc-ARRDC3-1,Up,1h
lnc-ARRDC3-10,Up,1h
lnc-ARRDC3-2,Up,1h
lnc-ARRDC3-6,Up,1h
lnc-ARRDC3-9,Up,1h
lnc-ARSE-4,Up,1h
lnc-ARSJ-3,Up,1h
lnc-ART5-1,Up,1h
lnc-ASAH2-4,Up,1h
lnc-ASAH2B-2,Up,1h
lnc-ASAH2C-2,Up,1h
lnc-ASAP1-2,Up,1h
lnc-ASAP2-7,Up,1h
lnc-ASB2-3,Up,1h
lnc-ASB5-1,Up,1h
lnc-ASB5-2,Up,1h
lnc-ASB6-1,Up,1h
lnc-ASB9-1,Up,1h
lnc-ASB9-3,Up,1h
lnc-ASH1L-1,Up,1h
lnc-ASIP-3,Up,1h
lnc-ASMT-3,Up,1h
lnc-ASMT-6,Up,1h
lnc-ASPHD2-3,Up,1h
lnc-ASPRV1-2,Up,1h
lnc-ASS1-1,Up,1h
lnc-ASTN1-3,Up,1h
lnc-ASUN-2,Up,1h
lnc-ASXL1-3,Up,1h
lnc-ATAD2-1,Up,1h
lnc-ATAD5-3,Up,1h
lnc-ATF2-1,Up,1h
lnc-ATF7IP-4,Up,1h
lnc-ATF7IP2-3,Up,1h
lnc-ATG10-4,Up,1h
lnc-ATG16L2-1,Up,1h
lnc-ATG16L2-3,Up,1h
lnc-ATG16L2-9,Up,1h
lnc-ATG2A-2,Up,1h
lnc-ATG2B-1,Up,1h
lnc-ATG4B-2,Up,1h
lnc-ATIC-5,Up,1h
lnc-ATL2-3,Up,1h
lnc-ATL3-1,Up,1h
lnc-ATL3-2,Up,1h
lnc-ATOH7-3,Up,1h
lnc-ATP10A-5,Up,1h
lnc-ATP10A-6,Up,1h
lnc-ATP11B-1,Up,1h
lnc-ATP11B-10,Up,1h
lnc-ATP11B-7,Up,1h
lnc-ATP12A-1,Up,1h
lnc-ATP13A3-1,Up,1h
lnc-ATP13A4-5,Up,1h
lnc-ATP1A1OS-5,Up,1h
lnc-ATP1A1OS-6,Up,1h
lnc-ATP1B1-2,Up,1h
lnc-ATP2A2-2,Up,1h
lnc-ATP2C2-2,Up,1h
lnc-ATP5A1-2,Up,1h
lnc-ATP5B-1,Up,1h
lnc-ATP5F1-3,Up,1h
lnc-ATP5G1-1,Up,1h
lnc-ATP5G1-2,Up,1h
lnc-ATP5G1-3,Up,1h
lnc-ATP5I-3,Up,1h
lnc-ATP5J-1,Up,1h
lnc-ATP5O-2,Up,1h
lnc-ATP6AP1L-3,Up,1h
lnc-ATP6AP2-1,Up,1h
lnc-ATP6AP2-13,Up,1h
lnc-ATP6AP2-9,Up,1h
lnc-ATP6V1C2-5,Up,1h
lnc-ATP6V1E1-2,Up,1h
lnc-ATP6V1E1-3,Up,1h
lnc-ATP6V1E1-4,Up,1h
lnc-ATP6V1G2-1,Up,1h
lnc-ATP6V1G3-4,Up,1h
lnc-ATP7B-1,Up,1h
lnc-ATP7B-2,Up,1h
lnc-ATP9B-2,Up,1h
lnc-ATPAF1-AS1-1,Up,1h
lnc-ATPAF2-2,Up,1h
lnc-ATPBD4-2,Up,1h
lnc-ATPBD4-7,Up,1h
lnc-ATRN-2,Up,1h
lnc-ATXN10-2,Up,1h
lnc-ATXN2L-1,Up,1h
lnc-ATXN3-1,Up,1h
lnc-ATXN3-4,Up,1h
lnc-ATXN7-10,Up,1h
lnc-ATXN7L3B-5,Up,1h
lnc-AUTS2-5,Up,1h
lnc-AVL9-2,Up,1h
lnc-AVPI1-1,Up,1h
lnc-AVPR1B-1,Up,1h
lnc-AWAT2-1,Up,1h
lnc-AZIN1-2,Up,1h
lnc-B2M-1,Up,1h
lnc-B3GALNT1-1,Up,1h
lnc-B3GAT1-2,Up,1h
lnc-B3GNT5-1,Up,1h
lnc-B3GNT6-2,Up,1h
lnc-B3GNT7-2,Up,1h
lnc-B3GNTL1-2,Up,1h
lnc-B4GALNT2-1,Up,1h
lnc-B4GALNT2-2,Up,1h
lnc-B4GALNT2-3,Up,1h
lnc-B4GALT5-1,Up,1h
lnc-B9D1-1,Up,1h
lnc-B9D1-2,Up,1h
lnc-B9D2-1,Up,1h
lnc-BACE2-2,Up,1h
lnc-BAG3-1,Up,1h
lnc-BAG3-2,Up,1h
lnc-BAG4-4,Up,1h
lnc-BAG4-7,Up,1h
lnc-BAGE4-3,Up,1h
lnc-BAHD1-1,Up,1h
lnc-BAI2-3,Up,1h
lnc-BAMBI-4,Up,1h
lnc-BARHL2-4,Up,1h
lnc-BASP1-1,Up,1h
lnc-BASP1-20,Up,1h
lnc-BASP1-9,Up,1h
lnc-BAX-1,Up,1h
lnc-BAZ1A-1,Up,1h
lnc-BAZ1A-3,Up,1h
lnc-BBIP1-6,Up,1h
lnc-BBS10-5,Up,1h
lnc-BBS4-1,Up,1h
lnc-BCAP29-2,Up,1h
lnc-BCAR3-1,Up,1h
lnc-BCL11A-7,Up,1h
lnc-BCL2L11-8,Up,1h
lnc-BCL2L13-1,Up,1h
lnc-BCL2L13-3,Up,1h
lnc-BCL2L2-2,Up,1h
lnc-BCL2L2-PABPN1-1,Up,1h
lnc-BCL7A-1,Up,1h
lnc-BCL7A-3,Up,1h
lnc-BCL9L-1,Up,1h
lnc-BCLAF1-3,Up,1h
lnc-BCOR-10,Up,1h
lnc-BCOR-3,Up,1h
lnc-BEAN1-1,Up,1h
lnc-BEND6-2,Up,1h
lnc-BEST4-2,Up,1h
lnc-BET1L-4,Up,1h
lnc-BEX4-1,Up,1h
lnc-BEX5-1,Up,1h
lnc-BHLHB9-1,Up,1h
lnc-BHLHE22-4,Up,1h
lnc-BHLHE41-2,Up,1h
lnc-BHMT2-4,Up,1h
lnc-BIK-3,Up,1h
lnc-BIN1-9,Up,1h
lnc-BIRC2-1,Up,1h
lnc-BIRC3-1,Up,1h
lnc-BIRC8-3,Up,1h
lnc-BIRC8-4,Up,1h
lnc-BLACE-2,Up,1h
lnc-BLID-1,Up,1h
lnc-BLID-7,Up,1h
lnc-BLID-9,Up,1h
lnc-BLM-6,Up,1h
lnc-BLNK-2,Up,1h
lnc-BLNK-4,Up,1h
lnc-BLVRB-1,Up,1h
lnc-BMI1-3,Up,1h
lnc-BMP2K-1,Up,1h
lnc-BMP4-3,Up,1h
lnc-BMP6-5,Up,1h
lnc-BMP6-8,Up,1h
lnc-BMP8A-1,Up,1h
lnc-BMS1-10,Up,1h
lnc-BMS1-12,Up,1h
