Gene,Regulation,Timepoint
ATP6V1C1,Up,1h
ATP6V1E1,Up,1h
ATP6V1F,Up,1h
ATP6V1G2-DDX39B,Up,1h
ATP6V1H,Up,1h
ATP8B2,Up,1h
ATPAF2,Up,1h
ATPIF1,Up,1h
ATRAID,Up,1h
ATRN,Up,1h
ATRX,Up,1h
ATXN10,Up,1h
ATXN1L,Up,1h
ATXN2L,Up,1h
ATXN7L2,Up,1h
ATXN7L3,Up,1h
ATXN7L3B,Up,1h
AUH,Up,1h
AUP1,Up,1h
AURKA,Up,1h
AURKAIP1,Up,1h
AXIN1,Up,1h
AXL,Up,1h
B2M,Up,1h
B3GNT2,Up,1h
B3GNT9,Up,1h
B4GALT2,Up,1h
B4GALT3,Up,1h
B4GALT4,Up,1h
B4GALT5,Up,1h
B9D2,Up,1h
BACE1-AS,Up,1h
BAD,Up,1h
BAG1,Up,1h
BAG3,Up,1h
BAG6,Up,1h
BAHCC1,Up,1h
BAHD1,Up,1h
BAIAP2,Up,1h
BAIAP2-AS1,Up,1h
BAK1,Up,1h
BANF1,Up,1h
BANP,Up,1h
BAP1,Up,1h
BARX1,Up,1h
BASP1,Up,1h
BAX,Up,1h
BAZ2A,Up,1h
BCAN,Up,1h
BCAP31,Up,1h
BCAR1,Up,1h
BCCIP,Up,1h
BCL2A1,Up,1h
BCL2L1,Up,1h
BCL2L11,Up,1h
BCL2L12,Up,1h
BCL2L2-PABPN1,Up,1h
BCL6,Up,1h
BCL7A,Up,1h
BCL7B,Up,1h
BCL7C,Up,1h
BCOR,Up,1h
BCR,Up,1h
BDH1,Up,1h
BDH2,Up,1h
BECN1,Up,1h
BEND2,Up,1h
BFAR,Up,1h
BICD2,Up,1h
BID,Up,1h
BIN1,Up,1h
BIN2,Up,1h
BIN3,Up,1h
BIRC5,Up,1h
BIVM,Up,1h
BLCAP,Up,1h
BLMH,Up,1h
BLOC1S1,Up,1h
BLOC1S3,Up,1h
BLOC1S5,Up,1h
BLOC1S5-TXNDC5,Up,1h
BLVRB,Up,1h
BLZF1,Up,1h
BMF,Up,1h
BMI1,Up,1h
BMP1,Up,1h
BMP8A,Up,1h
BMP8B,Up,1h
BMS1P20,Up,1h
BNIP1,Up,1h
BNIP3,Up,1h
BOD1L1,Up,1h
BOLA2,Up,1h
BOLA2B,Up,1h
BOLA3,Up,1h
BOP1,Up,1h
BPGM,Up,1h
BRD2,Up,1h
BRD3,Up,1h
BRD9,Up,1h
BRF1,Up,1h
BRI3,Up,1h
BRIX1,Up,1h
BRK1,Up,1h
BRMS1,Up,1h
BRPF1,Up,1h
BRPF3,Up,1h
BSCL2,Up,1h
BSDC1,Up,1h
BSG,Up,1h
BSN-AS2,Up,1h
BST2,Up,1h
BTBD6,Up,1h
BTBD7,Up,1h
BTD,Up,1h
BTF3,Up,1h
BTG2,Up,1h
BTK,Up,1h
BTN2A1,Up,1h
BUD31,Up,1h
BYSL,Up,1h
BZRAP1,Up,1h
C10orf2,Up,1h
C10orf32,Up,1h
C10orf76,Up,1h
C11orf1,Up,1h
C11orf24,Up,1h
C11orf31,Up,1h
C11orf57,Up,1h
C11orf68,Up,1h
C11orf84,Up,1h
C11orf95,Up,1h
C12orf10,Up,1h
C12orf43,Up,1h
C14orf1,Up,1h
C14orf119,Up,1h
